State,Selangor,WP KL,Johor,Sarawak,Negeri Sembilan,Sabah,Pahang,Perak,Kelantan,Melaka,Penang,Terengganu,Kedah,WP Putrajaya,Perlis,WP Labuan,Total
Daily New Case(s),17,27,14,8,1,0,17,0,0,0,0,0,1,0,0,0,85
  16-Mar(Mon),144,106,52,21,42,57,19,18,18,14,15,4,31,0,8,4,553
  17-Mar(Tue),161,113,77,29,45,82,28,23,25,17,23,7,31,0,8,4,673
  18-Mar(Wed),192,119,88,49,45,103,29,28,30,18,30,10,36,0,8,5,790
  19-Mar(Thu),223,123,101,51,56,112,32,35,44,20,32,11,40,6,9,5,900
  20-Mar(Fri),263,139,114,58,65,119,36,45,51,22,37,20,41,6,9,5,1030
  21-Mar(Sat),292,166,129,68,70,136,37,55,61,22,50,27,47,9,9,5,1183
  22-Mar(Sun),309,183,145,76,78,158,40,66,63,23,58,32,52,9,9,5,1306
  23-Mar(Mon),354,242,158,78,94,169,56,81,71,25,66,38,59,13,9,5,1518
  24-Mar(Tue),381,257,162,83,109,170,56,98,78,31,68,38,64,15,9,5,1624
  25-Mar(Wed),435,270,196,85,123,170,64,128,84,33,70,38,69,16,10,5,1796
  26-Mar(Thu),510,321,239,95,132,172,66,151,94,33,74,39,72,18,10,5,2031
  27-Mar(Fri),546,337,259,110,138,182,70,159,98,33,80,41,73,20,10,5,2161
  28-Mar(Sat),579,344,285,118,153,197,84,165,108,42,86,45,74,20,10,10,2320
  29-Mar(Sun),612,372,309,129,162,197,96,176,123,43,87,47,75,22,10,10,2470
  30-Mar(Mon),672,396,333,135,172,201,99,184,127,50,88,47,77,24,11,10,2626
  31-Mar(Tue),704,430,349,156,181,206,102,189,131,52,94,47,77,26,12,10,2766
  01-Apr(Wed),726,455,368,188,189,209,111,194,134,63,96,48,79,26,12,10,2908
  02-Apr(Thu),800,488,395,211,207,210,114,200,137,70,98,50,80,34,12,10,3116
  03-Apr(Fri),863,543,416,239,211,215,127,205,137,73,98,68,81,35,12,10,3333
  04-Apr(Sat),890,595,422,246,220,225,139,207,151,75,99,74,81,36,12,11,3483
  05-Apr(Sun),943,622,438,261,231,238,158,213,141,89,101,84,82,37,13,11,3662
  06-Apr(Mon),970,640,468,273,239,240,161,219,142,99,101,90,85,41,13,12,3793
  07-Apr(Tue),1020,671,478,288,261,241,166,233,147,103,102,90,90,43,17,13,3963
  08-Apr(Wed),1078,685,496,306,270,248,169,237,147,116,108,93,91,45,17,13,4119
  09-Apr(Thu),1118,699,503,312,281,248,183,241,148,119,108,98,93,47,17,13,4228
  10-Apr(Fri),1148,713,523,327,292,250,187,242,149,133,109,101,93,49,17,13,4346
  11-Apr(Sat),1183,759,544,334,309,260,214,243,151,141,114,102,93,51,17,15,4530
  12-Apr(Sun),1236,803,558,342,318,266,225,244,152,144,116,102,93,52,17,15,4683
  13-Apr(Mon),1249,830,579,348,360,280,225,247,154,144,116,106,93,54,17,15,4817
  14-Apr(Tue),1299,899,587,363,362,285,236,250,154,147,119,106,93,54,18,15,4987
  15-Apr(Wed),1316,926,601,371,363,285,253,250,154,147,119,106,94,54,18,15,5072
  16-Apr(Thu),,,,,,,,,,,,,,,,,
  17-Apr(Fri),,,,,,,,,,,,,,,,,
  18-Apr(Sat),,,,,,,,,,,,,,,,,
  19-Apr(Sun),,,,,,,,,,,,,,,,,
  20-Apr(Mon),,,,,,,,,,,,,,,,,
  21-Apr(Tue),,,,,,,,,,,,,,,,,
  22-Apr(Wed),,,,,,,,,,,,,,,,,
  23-Apr(Thu),,,,,,,,,,,,,,,,,
  24-Apr(Fri),,,,,,,,,,,,,,,,,
  25-Apr(Sat),,,,,,,,,,,,,,,,,
  26-Apr(Sun),,,,,,,,,,,,,,,,,
  27-Apr(Mon),,,,,,,,,,,,,,,,,
  28-Apr(Tue),,,,,,,,,,,,,,,,,